,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,0.011998414993286133,0.0,0.09400177001953125,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9644760213143871,0.9644760213143871,0.0,10
1,0.013999700546264648,0.0,0.10300040245056152,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9636040834442966,0.9636040834442966,0.0,12
2,0.01100015640258789,0.0,0.08899950981140137,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9644602398933806,0.9644602398933806,0.0,11
3,0.016000986099243164,0.0,0.10900092124938965,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9651033563014003,0.9651033563014003,0.0,9
4,0.013001203536987305,0.0,0.09200072288513184,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9681697612732095,0.9681697612732095,0.0,1
5,0.016001462936401367,0.0,0.10100030899047852,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9679274496792746,0.9679274496792746,0.0,2
6,0.01199960708618164,0.0,0.09000062942504883,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9674850696748506,0.9674850696748506,0.0,4
7,0.017997264862060547,0.0,0.10700225830078125,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9665411034788389,0.9665411034788389,0.0,8
8,0.01799917221069336,0.0,0.09400200843811035,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9670863706648994,0.9670863706648994,0.0,5
9,0.016999006271362305,0.0,0.10300135612487793,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9677276746242264,0.9677276746242264,0.0,3
10,0.017999649047851562,0.0,0.10100221633911133,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.967028103562735,0.967028103562735,0.0,6
11,0.01199960708618164,0.0,0.10300111770629883,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.966784765279008,0.966784765279008,0.0,7
