n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
15,5.079056262969971,0.0,0.20944619178771973,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8881292197248098,0.8881292197248098,0.0,12
15,9.78517770767212,0.0,0.3885378837585449,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8885097671244563,0.8885097671244563,0.0,11
15,18.07080912590027,0.0,0.6891157627105713,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8890783528007504,0.8890783528007504,0.0,10
15,26.045165300369263,0.0,0.9375791549682617,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.889419795221843,0.889419795221843,0.0,5
15,32.880279302597046,0.0,1.2285957336425781,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8894005286944657,0.8894005286944657,0.0,6
15,40.09778308868408,0.0,1.495234489440918,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8895333958884246,0.8895333958884246,0.0,3
15,5.46783185005188,0.0,0.22186040878295898,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.890271975445477,0.890271975445477,0.0,1
15,10.687149047851562,0.0,0.3407111167907715,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8897584212317113,0.8897584212317113,0.0,2
15,19.84727931022644,0.0,0.6174180507659912,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8894938324117396,0.8894938324117396,0.0,4
15,28.385531187057495,0.0,0.8855714797973633,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8893620645600887,0.8893620645600887,0.0,7
15,35.54305410385132,0.0,1.169421672821045,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8893048583340424,0.8893048583340424,0.0,8
15,43.474339723587036,0.0,1.4590630531311035,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8892105935450907,0.8892105935450907,0.0,9
14,5.2260308265686035,0.0,0.19501423835754395,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8891924193273006,0.8891924193273006,0.0,10
14,10.036650657653809,0.0,0.3949437141418457,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8894579598804951,0.8894579598804951,0.0,8
14,18.659898281097412,0.0,0.7031803131103516,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8896475206964239,0.8896475206964239,0.0,4
14,26.568877458572388,0.0,1.0325818061828613,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.8895904436860067,0.8895904436860067,0.0,7
14,33.931726932525635,0.0,1.1993381977081299,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8896098352258175,0.8896098352258175,0.0,6
14,40.9689838886261,0.0,1.4740352630615234,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8896475206964239,0.8896475206964239,0.0,4
14,5.884536981582642,0.0,0.18019318580627441,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8890975838811577,0.8890975838811577,0.0,11
14,10.894010305404663,0.0,0.3429291248321533,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8892677521097946,0.8892677521097946,0.0,9
14,20.01584267616272,0.0,0.6174156665802002,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8889267752109794,0.8889267752109794,0.0,12
14,28.5275936126709,0.0,0.8894171714782715,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8901183079411014,0.8901183079411014,0.0,2
14,36.79160284996033,0.0,1.1490859985351562,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8906303236797275,0.8906303236797275,0.0,1
14,44.025076389312744,0.0,1.4261963367462158,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8897778534343348,0.8897778534343348,0.0,3
13,5.292295217514038,0.0,0.19337129592895508,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8886419964105631,0.8886419964105631,0.0,12
13,10.32727313041687,0.0,0.37513279914855957,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8894956907585971,0.8894956907585971,0.0,6
13,18.97422981262207,0.0,0.7447795867919922,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8897040006824192,0.8897040006824192,0.0,5
13,27.1132333278656,0.0,0.9233989715576172,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.8892872385830133,0.8892872385830133,0.0,9
13,34.91774535179138,0.0,1.1656568050384521,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8899317406143344,0.8899317406143344,0.0,3
13,42.45240926742554,0.0,1.4527697563171387,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.889742276839051,0.889742276839051,0.0,4
13,5.782967567443848,0.0,0.19906234741210938,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8899889050098149,0.8899889050098149,0.0,2
13,11.186938285827637,0.0,0.3196091651916504,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8900443232185477,0.8900443232185477,0.0,1
13,21.043465614318848,0.0,0.5918788909912109,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8893997445721583,0.8893997445721583,0.0,7
13,29.45869469642639,0.0,0.8462028503417969,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8889835562750277,0.8889835562750277,0.0,11
13,38.456533670425415,0.0,1.116312026977539,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8890024703978192,0.8890024703978192,0.0,10
13,46.30486226081848,0.0,1.4140939712524414,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8893054963783554,0.8893054963783554,0.0,8
12,5.252272367477417,0.0,0.20427846908569336,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8903336184773311,0.8903336184773311,0.0,12
12,10.283514499664307,0.0,0.35097527503967285,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8910552420044469,0.8910552420044469,0.0,8
12,18.88744854927063,0.0,0.6312375068664551,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8914735311724964,0.8914735311724964,0.0,2
12,26.91115379333496,0.0,0.8849318027496338,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.8916794806082351,0.8916794806082351,0.0,1
12,34.77106070518494,0.0,1.1628446578979492,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8909774436090225,0.8909774436090225,0.0,9
12,42.79108238220215,0.0,1.4388244152069092,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8914305223625811,0.8914305223625811,0.0,3
12,5.958003044128418,0.0,0.1964733600616455,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8910908003758437,0.8910908003758437,0.0,7
12,11.2150559425354,0.0,0.32292771339416504,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8911279993168815,0.8911279993168815,0.0,5
12,20.76603889465332,0.0,0.6190850734710693,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8913544422633779,0.8913544422633779,0.0,4
12,29.24900197982788,0.0,0.8630008697509766,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8906329977819484,0.8906329977819484,0.0,10
12,38.262441873550415,0.0,1.1148345470428467,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8904635874669171,0.8904635874669171,0.0,11
12,45.722421407699585,0.0,1.3712010383605957,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8911076975593104,0.8911076975593104,0.0,6
