,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,6.092496633529663,0.0,0.28150320053100586,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.9587329913004684,0.9587329913004684,0.0,13
1,9.212270975112915,0.0,1.773460865020752,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.945341889798628,0.945341889798628,0.0,18
2,6.205765247344971,0.0,0.25316429138183594,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.9587329913004684,0.9587329913004684,0.0,13
3,7.561156988143921,0.0,0.9483621120452881,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9612989323843417,0.9612989323843417,0.0,1
4,6.290226459503174,0.0,0.2771780490875244,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.9587329913004684,0.9587329913004684,0.0,13
5,6.824310064315796,0.0,0.8454716205596924,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.9587697793626031,0.9587697793626031,0.0,12
6,5.2731664180755615,0.0,0.2165813446044922,0.0,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.9601075750784401,0.9601075750784401,0.0,6
7,7.557090759277344,0.0,0.9594259262084961,0.0,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9608540925266904,0.9608540925266904,0.0,2
8,5.2449049949646,0.0,0.21762609481811523,0.0,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.9601075750784401,0.9601075750784401,0.0,6
9,6.373999834060669,0.0,0.8771798610687256,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9598034836980796,0.9598034836980796,0.0,9
10,5.443914413452148,0.0,0.19942641258239746,0.0,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.9601075750784401,0.9601075750784401,0.0,6
11,6.392855882644653,0.0,0.8257162570953369,0.0,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9586961375306988,0.9586961375306988,0.0,16
12,6.584542512893677,0.0,0.19647502899169922,0.0,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.9603227975790182,0.9603227975790182,0.0,3
13,6.4411516189575195,0.0,0.9078724384307861,0.0,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.9597675458202951,0.9597675458202951,0.0,10
14,6.753329515457153,0.0,0.19778943061828613,0.0,100,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.9603227975790182,0.9603227975790182,0.0,3
15,2.197690486907959,0.0,0.5044217109680176,0.0,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.9597495527728086,0.9597495527728086,0.0,11
16,2.528771162033081,0.0,0.11461687088012695,0.0,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.9603227975790182,0.9603227975790182,0.0,3
17,2.7735795974731445,0.0,0.44448351860046387,0.0,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9583611667780004,0.9583611667780004,0.0,17
