,feature,importance
0,mer8,0.5244776065315263
1,mer7,0.17186649040140436
2,mer6,0.10276805998319585
3,cpg,0.030244045496690353
4,gc,0.019529031586651924
5,gcs,0.01825189925278451
6,cm2,0.017900185772476426
7,ce,0.015724090968038222
8,cwf,0.015697316428028643
9,cm1,0.015565925739183915
10,ct5,0.008123626912684818
11,ct6,0.008022679662994687
12,ct4,0.007985872643465529
13,ct3,0.007004306007553526
14,cm3,0.0064026712795257545
15,cl6,0.0052047782720273175
16,cl5,0.005006014273560443
17,cl4,0.004914862889942735
18,cl3,0.00461302845931866
19,ct2,0.003738941167253453
20,cl2,0.003550672317374132
21,cm4,0.0022239148729598494
22,cm5,0.0005738168887033216
23,ct1,0.0002375924644231991
24,cl1,0.00021461691964054616
25,cm6,0.00015795280859152302
