n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
25,83.32384705543518,0.0,2.7490413188934326,0.0,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.8952661695855731,0.8952661695855731,0.0,7
25,88.6313099861145,0.0,8.309720754623413,0.0,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8984394985929905,0.8984394985929905,0.0,1
24,158.5640127658844,0.0,5.102710247039795,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8940747809490762,0.8940747809490762,0.0,13
24,214.19911313056946,0.0,18.90105175971985,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8256880733944955,0.8256880733944955,0.0,18
24,158.7345027923584,0.0,5.101752281188965,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8940747809490762,0.8940747809490762,0.0,13
24,187.7403633594513,0.0,14.144835233688354,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8841958286063356,0.8841958286063356,0.0,17
24,158.70833253860474,0.0,5.086182594299316,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8940747809490762,0.8940747809490762,0.0,13
24,163.18368315696716,0.0,13.570372104644775,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8957108267035628,0.8957108267035628,0.0,5
24,149.69574427604675,0.0,4.347019195556641,0.0,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.8949193688226114,0.8949193688226114,0.0,10
24,188.03150415420532,0.0,13.166221141815186,0.0,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8854548629299808,0.8854548629299808,0.0,16
24,149.38401770591736,0.0,4.442662954330444,0.0,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.8949193688226114,0.8949193688226114,0.0,10
24,160.06539130210876,0.0,14.206812381744385,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8960971379011274,0.8960971379011274,0.0,4
24,149.21049237251282,0.0,4.28134822845459,0.0,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.8949193688226114,0.8949193688226114,0.0,10
24,148.18021488189697,0.0,13.87556004524231,0.0,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8985084861992114,0.8985084861992114,0.0,2
24,185.60879707336426,0.0,3.024998664855957,0.0,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.89534379606347,0.89534379606347,0.0,7
24,162.94780898094177,0.0,13.332818269729614,0.0,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.8954809610547315,0.8954809610547315,0.0,6
24,185.65940856933594,0.0,3.0519378185272217,0.0,100,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.89534379606347,0.89534379606347,0.0,7
24,59.495399713516235,0.0,9.229260921478271,0.0,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8981497492650873,0.8981497492650873,0.0,3
24,74.04640364646912,0.0,2.7928857803344727,0.0,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.89534379606347,0.89534379606347,0.0,7
24,78.39166688919067,0.0,8.040797233581543,0.0,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8987978514792394,0.8987978514792394,0.0,1
23,171.1263656616211,0.0,4.992350101470947,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8940380109346524,0.8940380109346524,0.0,13
23,226.896546125412,0.0,18.573077917099,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8256560836850798,0.8256560836850798,0.0,18
23,171.09759521484375,0.0,4.9818384647369385,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8940380109346524,0.8940380109346524,0.0,13
23,197.93944334983826,0.0,13.978740453720093,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8841958286063356,0.8841958286063356,0.0,17
23,171.11529064178467,0.0,4.978499889373779,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8940380109346524,0.8940380109346524,0.0,13
23,173.0634469985962,0.0,14.887609720230103,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8959377700950735,0.8959377700950735,0.0,5
23,157.58902096748352,0.0,4.2776360511779785,0.0,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.894686660310306,0.894686660310306,0.0,10
23,197.9017369747162,0.0,13.69748568534851,0.0,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8853775643823657,0.8853775643823657,0.0,16
23,157.47931718826294,0.0,4.297415494918823,0.0,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.894686660310306,0.894686660310306,0.0,10
23,170.0067458152771,0.0,14.921933650970459,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8959417273673256,0.8959417273673256,0.0,4
23,157.71704602241516,0.0,4.284536361694336,0.0,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.894686660310306,0.894686660310306,0.0,10
23,149.58752608299255,0.0,13.9031343460083,0.0,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8989457444073027,0.8989457444073027,0.0,1
23,196.1659209728241,0.0,2.987865686416626,0.0,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.8948964561129885,0.8948964561129885,0.0,7
23,172.5150923728943,0.0,14.186301708221436,0.0,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.8951703806468395,0.8951703806468395,0.0,6
23,196.6270136833191,0.0,3.095867156982422,0.0,100,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.8948964561129885,0.8948964561129885,0.0,7
23,61.92645835876465,0.0,9.420128583908081,0.0,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8976486860304288,0.8976486860304288,0.0,3
23,77.71337842941284,0.0,2.526528835296631,0.0,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.8948964561129885,0.8948964561129885,0.0,7
23,84.90569162368774,0.0,8.431231260299683,0.0,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8984394985929905,0.8984394985929905,0.0,2
22,167.07515215873718,0.0,4.796448469161987,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8940563991323212,0.8940563991323212,0.0,13
