,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,0.19350361824035645,0.0,1.1052429676055908,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.8437743696386795,0.8437743696386795,0.0,5
1,0.23001575469970703,0.0,0.8983876705169678,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.8487046632124353,0.8487046632124353,0.0,2
2,0.20365524291992188,0.0,1.320406436920166,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.8389279672335498,0.8389279672335498,0.0,9
3,0.17563772201538086,0.0,1.114222526550293,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.8461401952085181,0.8461401952085181,0.0,3
4,0.20666098594665527,0.0,1.2990832328796387,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.8431952662721893,0.8431952662721893,0.0,7
5,0.19450139999389648,0.0,1.1577649116516113,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8498314169620471,0.8498314169620471,0.0,1
6,0.2025437355041504,0.0,1.473097324371338,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.8358606012237297,0.8358606012237297,0.0,11
7,0.2046675682067871,0.0,1.2870430946350098,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.8433033350979354,0.8433033350979354,0.0,6
8,0.23094391822814941,0.0,1.4705653190612793,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.8388335952505674,0.8388335952505674,0.0,10
9,0.23094391822814941,0.0,1.3862271308898926,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8441886825355305,0.8441886825355305,0.0,4
10,0.22700858116149902,0.0,1.5575430393218994,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.8335988670561162,0.8335988670561162,0.0,12
11,0.2025437355041504,0.0,1.4026038646697998,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.8406923348640056,0.8406923348640056,0.0,8
