n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
12,0.2084052562713623,0.0,2.6197574138641357,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8269917283413147,0.8269917283413147,0.0,3
12,0.19470596313476562,0.0,3.1893954277038574,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.8174652378000178,0.8174652378000178,0.0,11
12,0.24431824684143066,0.0,2.8235363960266113,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.8194690265486725,0.8194690265486725,0.0,10
11,0.17938756942749023,0.0,1.1960415840148926,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.8216582652529115,0.8216582652529115,0.0,7
11,0.25206732749938965,0.0,0.9528217315673828,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.8266620257570483,0.8266620257570483,0.0,4
11,0.22426366806030273,0.0,1.3903841972351074,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.8171234103528568,0.8171234103528568,0.0,12
11,0.23224210739135742,0.0,1.3125882148742676,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.8213934352920133,0.8213934352920133,0.0,8
11,0.19441914558410645,0.0,1.4759249687194824,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.8280586144108212,0.8280586144108212,0.0,2
11,0.2470684051513672,0.0,1.3605480194091797,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8304306385928429,0.8304306385928429,0.0,1
11,0.2699143886566162,0.0,1.6625916957855225,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.8198724760892667,0.8198724760892667,0.0,10
11,0.22426366806030273,0.0,1.3903841972351074,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.8231539757113732,0.8231539757113732,0.0,6
11,0.19441914558410645,0.0,1.718238353729248,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.824851864761241,0.824851864761241,0.0,5
11,0.25411486625671387,0.0,1.4950909614562988,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8275441803778184,0.8275441803778184,0.0,3
11,0.26291632652282715,0.0,1.6956026554107666,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.8175777443076107,0.8175777443076107,0.0,11
11,0.21426773071289062,0.0,1.628401279449463,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.8200955245002653,0.8200955245002653,0.0,9
10,0.18869590759277344,0.0,1.0072453022003174,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.8268980477223427,0.8268980477223427,0.0,8
10,0.23459124565124512,0.0,0.8098676204681396,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.835214446952596,0.835214446952596,0.0,2
10,0.16440653800964355,0.0,1.221196174621582,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.8237715922312719,0.8237715922312719,0.0,11
10,0.20983266830444336,0.0,1.0609123706817627,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.8338513453512121,0.8338513453512121,0.0,3
10,0.20579862594604492,0.0,1.323258399963379,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.8333621733863992,0.8333621733863992,0.0,4
10,0.22759127616882324,0.0,1.1630620956420898,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8368953880764904,0.8368953880764904,0.0,1
10,0.20479846000671387,0.0,1.3877878189086914,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.8251698879181008,0.8251698879181008,0.0,9
10,0.18869590759277344,0.0,1.3215949535369873,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.8310082994879039,0.8310082994879039,0.0,5
10,0.20079851150512695,0.0,1.4734416007995605,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.8291452917137639,0.8291452917137639,0.0,7
10,0.20983266830444336,0.0,1.2874116897583008,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8309346280561818,0.8309346280561818,0.0,6
10,0.23659133911132812,0.0,1.4214847087860107,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.8221399612198131,0.8221399612198131,0.0,12
10,0.2285904884338379,0.0,1.3302247524261475,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.824936252527917,0.824936252527917,0.0,10
9,0.17090916633605957,0.0,0.9271879196166992,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.8334054521852011,0.8334054521852011,0.0,7
9,0.17290830612182617,0.0,0.688079833984375,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.8398373280263043,0.8398373280263043,0.0,1
9,0.17691326141357422,0.0,1.1212007999420166,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.827734095782702,0.827734095782702,0.0,11
9,0.20076203346252441,0.0,0.7817509174346924,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.8334370831480659,0.8334370831480659,0.0,6
9,0.17691326141357422,0.0,1.117164134979248,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.8367752527434547,0.8367752527434547,0.0,3
9,0.1698760986328125,0.0,0.9043607711791992,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8397923875432527,0.8397923875432527,0.0,2
9,0.17591261863708496,0.0,1.322965383529663,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.8292338887419552,0.8292338887419552,0.0,9
9,0.17390966415405273,0.0,1.1771986484527588,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.8348898678414097,0.8348898678414097,0.0,4
9,0.17390966415405273,0.0,1.322965383529663,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.8307131069226094,0.8307131069226094,0.0,8
9,0.19469738006591797,0.0,1.0397834777832031,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8337232475522053,0.8337232475522053,0.0,5
9,0.17390966415405273,0.0,1.3012340068817139,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.8244718309859156,0.8244718309859156,0.0,12
9,0.19370603561401367,0.0,1.0745983123779297,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.8284231817782077,0.8284231817782077,0.0,10
8,0.17960810661315918,0.0,0.7643704414367676,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.8374708070236139,0.8374708070236139,0.0,4
8,0.14934015274047852,0.0,0.6374478340148926,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.8436338490794364,0.8436338490794364,0.0,1
8,0.17255473136901855,0.0,0.8884539604187012,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.8322219258468926,0.8322219258468926,0.0,10
8,0.1193389892578125,0.0,0.7023589611053467,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.835614003909721,0.835614003909721,0.0,7
8,0.14934015274047852,0.0,1.0216984748840332,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.841339911711244,0.841339911711244,0.0,3
8,0.16855597496032715,0.0,0.8253746032714844,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8426141759475093,0.8426141759475093,0.0,2
