n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
9,5.8300557136535645,0.0,0.16199946403503418,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.959780621572212,0.959780621572212,0.0,9
9,8.281054735183716,0.0,0.2350015640258789,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9595982652362475,0.9595982652362475,0.0,11
9,10.393052816390991,0.0,0.3020014762878418,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.9598173515981735,0.9598173515981735,0.0,6
9,12.58136248588562,0.0,0.37589073181152344,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9596167008898016,0.9596167008898016,0.0,10
8,1.2191522121429443,0.0,0.05899930000305176,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9598356914650845,0.9598356914650845,0.0,5
8,2.3691506385803223,0.0,0.1100001335144043,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9595798127426352,0.9595798127426352,0.0,6
8,4.4983742237091064,0.0,0.17200016975402832,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9600730093543235,0.9600730093543235,0.0,3
8,6.470484495162964,0.0,0.2609994411468506,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.9600730093543235,0.9600730093543235,0.0,3
8,8.392579793930054,0.0,0.3360004425048828,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.960091220068415,0.960091220068415,0.0,1
8,10.106320142745972,0.0,0.42775583267211914,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.960091220068415,0.960091220068415,0.0,1
8,1.3091511726379395,0.0,0.05399942398071289,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9588665447897623,0.9588665447897623,0.0,11
8,2.5721514225006104,0.0,0.08404827117919922,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.959141748459256,0.959141748459256,0.0,8
8,4.551376104354858,0.0,0.17200255393981934,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.9589228662711092,0.9589228662711092,0.0,10
8,6.699481964111328,0.0,0.25400328636169434,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9591603924252795,0.9591603924252795,0.0,7
8,8.652570247650146,0.0,0.338001012802124,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.958941605839416,0.958941605839416,0.0,9
