,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,0.11715865135192871,0.0,0.5399603843688965,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.8741461748633881,0.8741461748633881,0.0,11
1,0.11215853691101074,0.0,0.45919179916381836,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.8741234821275867,0.8741234821275867,0.0,12
2,0.11716461181640625,0.0,0.5772383213043213,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.8748057330340183,0.8748057330340183,0.0,10
3,0.11610889434814453,0.0,0.43230628967285156,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.87662954329621,0.87662954329621,0.0,9
4,0.06141400337219238,0.0,0.6360397338867188,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.8836068347149382,0.8836068347149382,0.0,1
5,0.11515927314758301,0.0,0.4884176254272461,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.883371336880331,0.883371336880331,0.0,2
6,0.11716461181640625,0.0,0.5642063617706299,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.8795499104935641,0.8795499104935641,0.0,7
7,0.08776402473449707,0.0,0.460651159286499,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.8810092055915445,0.8810092055915445,0.0,5
8,0.11716461181640625,0.0,0.5479373931884766,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.8816223067173637,0.8816223067173637,0.0,3
9,0.08776402473449707,0.0,0.57230544090271,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8810408921933086,0.8810408921933086,0.0,4
10,0.08776402473449707,0.0,0.6599383354187012,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.8792912513842747,0.8792912513842747,0.0,8
11,0.08776402473449707,0.0,0.5480654239654541,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.8804902962206332,0.8804902962206332,0.0,6
