n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.013000011444091797,0.0,0.003000020980834961,0.0,{},0.6114663487590767,0.6114663487590767,0.0,1
25,0.01199960708618164,0.0,0.003000020980834961,0.0,{},0.6117494038586604,0.6117494038586604,0.0,1
24,0.010997533798217773,0.0,0.003999948501586914,0.0,{},0.6112013866320009,0.6112013866320009,0.0,1
23,0.011012792587280273,0.0,0.0039997100830078125,0.0,{},0.611213534323826,0.611213534323826,0.0,1
22,0.012000322341918945,0.0,0.003000020980834961,0.0,{},0.6106770833333334,0.6106770833333334,0.0,1
21,0.011022329330444336,0.0,0.0030007362365722656,0.0,{},0.6102909248805906,0.6102909248805906,0.0,1
20,0.010998964309692383,0.0,0.003002643585205078,0.0,{},0.6102909248805906,0.6102909248805906,0.0,1
19,0.010012388229370117,0.0,0.0030007362365722656,0.0,{},0.6102246825138391,0.6102246825138391,0.0,1
18,0.010000467300415039,0.0,0.00299835205078125,0.0,{},0.6092341118957089,0.6092341118957089,0.0,1
17,0.008996248245239258,0.0,0.004003047943115234,0.0,{},0.6087240291526161,0.6087240291526161,0.0,1
16,0.008999347686767578,0.0,0.003000497817993164,0.0,{},0.6087713570573512,0.6087713570573512,0.0,1
15,0.008999109268188477,0.0,0.003000020980834961,0.0,{},0.6085726718885988,0.6085726718885988,0.0,1
14,0.00899815559387207,0.0,0.003000974655151367,0.0,{},0.6079199303742384,0.6079199303742384,0.0,1
13,0.009000539779663086,0.0,0.0029993057250976562,0.0,{},0.6072865687873844,0.6072865687873844,0.0,1
12,0.00800013542175293,0.0,0.0029997825622558594,0.0,{},0.6016331935555065,0.6016331935555065,0.0,1
11,0.008999824523925781,0.0,0.0030002593994140625,0.0,{},0.6020913593835993,0.6020913593835993,0.0,1
10,0.007996320724487305,0.0,0.003000497817993164,0.0,{},0.6000442673749447,0.6000442673749447,0.0,1
9,0.006995677947998047,0.0,0.0030002593994140625,0.0,{},0.5970315812967303,0.5970315812967303,0.0,1
8,0.006999492645263672,0.0,0.003000020980834961,0.0,{},0.5926261026916987,0.5926261026916987,0.0,1
7,0.0060002803802490234,0.0,0.002998828887939453,0.0,{},0.5765430663721958,0.5765430663721958,0.0,1
6,0.0060002803802490234,0.0,0.003000020980834961,0.0,{},0.5265640516385303,0.5265640516385303,0.0,1
5,0.00599980354309082,0.0,0.003000020980834961,0.0,{},0.5276469129680139,0.5276469129680139,0.0,1
4,0.005987405776977539,0.0,0.0030014514923095703,0.0,{},0.2038819630740098,0.2038819630740098,0.0,1
3,0.004998445510864258,0.0,0.003000020980834961,0.0,{},0.05870236869207003,0.05870236869207003,0.0,1
2,0.004999637603759766,0.0,0.0020003318786621094,0.0,{},0.006700758243695997,0.006700758243695997,0.0,1
1,0.004998683929443359,0.0,0.0020008087158203125,0.0,{},0.0,0.0,0.0,1
