n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.014002799987792969,0.0,0.002996683120727539,0.0,{},0.8536867384150137,0.8536867384150137,0.0,1
25,0.01299142837524414,0.0,0.0029997825622558594,0.0,{},0.8533309614871475,0.8533309614871475,0.0,1
24,0.013030290603637695,0.0,0.0029997825622558594,0.0,{},0.8535088499510807,0.8535088499510807,0.0,1
23,0.011987686157226562,0.0,0.003999948501586914,0.0,{},0.8533831243887259,0.8533831243887259,0.0,1
22,0.012061834335327148,0.0,0.003000020980834961,0.0,{},0.8531294452347084,0.8531294452347084,0.0,1
21,0.011999845504760742,0.0,0.0030002593994140625,0.0,{},0.853053604764868,0.853053604764868,0.0,1
20,0.010999679565429688,0.0,0.0029993057250976562,0.0,{},0.8526456202756781,0.8526456202756781,0.0,1
19,0.010988235473632812,0.0,0.002999544143676758,0.0,{},0.8519868432749578,0.8519868432749578,0.0,1
18,0.010035514831542969,0.0,0.003996133804321289,0.0,{},0.8510713968169289,0.8510713968169289,0.0,1
17,0.00999903678894043,0.0,0.0030012130737304688,0.0,{},0.8507422882033959,0.8507422882033959,0.0,1
16,0.009025335311889648,0.0,0.0029997825622558594,0.0,{},0.8508179231863442,0.8508179231863442,0.0,1
15,0.00931549072265625,0.0,0.003995418548583984,0.0,{},0.8503111111111111,0.8503111111111111,0.0,1
14,0.01003265380859375,0.0,0.003000020980834961,0.0,{},0.8501066856330015,0.8501066856330015,0.0,1
13,0.00959324836730957,0.0,0.0029973983764648438,0.0,{},0.8499777678968431,0.8499777678968431,0.0,1
12,0.009011983871459961,0.0,0.003000020980834961,0.0,{},0.8498754891497687,0.8498754891497687,0.0,1
11,0.008997201919555664,0.0,0.003000020980834961,0.0,{},0.8485495639793557,0.8485495639793557,0.0,1
10,0.008034944534301758,0.0,0.0030007362365722656,0.0,{},0.8483446066215735,0.8483446066215735,0.0,1
9,0.007010221481323242,0.0,0.0029990673065185547,0.0,{},0.8479131440776009,0.8479131440776009,0.0,1
8,0.007031917572021484,0.0,0.002999544143676758,0.0,{},0.8478376935397758,0.8478376935397758,0.0,1
7,0.007032871246337891,0.0,0.0029997825622558594,0.0,{},0.8473309608540924,0.8473309608540924,0.0,1
6,0.006000041961669922,0.0,0.00299835205078125,0.0,{},0.8468516542155816,0.8468516542155816,0.0,1
5,0.0069980621337890625,0.0,0.002998828887939453,0.0,{},0.846167526231549,0.846167526231549,0.0,1
4,0.006011962890625,0.0,0.0029976367950439453,0.0,{},0.845989685221412,0.845989685221412,0.0,1
3,0.0060312747955322266,0.0,0.0029993057250976562,0.0,{},0.8460170697012802,0.8460170697012802,0.0,1
2,0.00500035285949707,0.0,0.0029997825622558594,0.0,{},0.8585901948999742,0.8585901948999742,0.0,1
1,0.003998756408691406,0.0,0.002999544143676758,0.0,{},0.0,0.0,0.0,1
