,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,8.711487054824829,0.0,0.003999948501586914,0.0,10,0.001,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8747826086956522,0.8747826086956522,0.0,24
1,3.148550510406494,0.0,0.0,0.0,10,0.001,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8862367991757534,0.8862367991757534,0.0,22
2,3.6272971630096436,0.0,0.005999565124511719,0.0,10,0.01,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8915600583841331,0.8915600583841331,0.0,21
3,2.0485517978668213,0.0,0.002052783966064453,0.0,10,0.01,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.898484463635594,0.898484463635594,0.0,3
4,2.1841726303100586,0.0,0.0069959163665771484,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8974619289340102,0.8974619289340102,0.0,6
5,1.8161828517913818,0.0,0.0,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8947594871353584,0.8947594871353584,0.0,16
6,10.92650055885315,0.0,0.0,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.88247493950916,0.88247493950916,0.0,23
7,4.525851726531982,0.0,0.0,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8964062763624093,0.8964062763624093,0.0,11
8,4.399193525314331,0.0,0.0070497989654541016,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8948336398595553,0.8948336398595553,0.0,15
9,3.531593084335327,0.0,0.01703357696533203,0.0,20,0.01,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8989163562478836,0.8989163562478836,0.0,1
10,2.6352744102478027,0.0,0.0,0.0,20,0.1,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8982015609093994,0.8982015609093994,0.0,5
11,1.6454811096191406,0.0,0.0,0.0,20,0.1,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8971821536397182,0.8971821536397182,0.0,7
12,8.684813261032104,0.0,0.003990888595581055,0.0,"(10, 10)",0.001,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8925507517200374,0.8925507517200374,0.0,20
13,3.08125376701355,0.0,0.006998538970947266,0.0,"(10, 10)",0.001,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8934830695933299,0.8934830695933299,0.0,18
14,4.2491559982299805,0.0,0.0,0.0,"(10, 10)",0.01,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8969098493232315,0.8969098493232315,0.0,9
15,4.6864330768585205,0.0,0.004000663757324219,0.0,"(10, 10)",0.01,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8984630889392794,0.8984630889392794,0.0,4
16,2.444044351577759,0.0,0.003062009811401367,0.0,"(10, 10)",0.1,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8960396039603961,0.8960396039603961,0.0,13
17,3.2776143550872803,0.0,0.0,0.0,"(10, 10)",0.1,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8943565037852719,0.8943565037852719,0.0,17
18,8.636804819107056,0.0,0.004999637603759766,0.0,"(20, 20)",0.001,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8933333333333334,0.8933333333333334,0.0,19
19,4.428751707077026,0.0,0.0,0.0,"(20, 20)",0.001,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8957191780821917,0.8957191780821917,0.0,14
20,4.230934143066406,0.0,0.0,0.0,"(20, 20)",0.01,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8971818958155422,0.8971818958155422,0.0,8
21,2.836902379989624,0.0,0.0049991607666015625,0.0,"(20, 20)",0.01,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8986828774062816,0.8986828774062816,0.0,2
22,2.0165464878082275,0.0,0.0,0.0,"(20, 20)",0.1,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8960785974421953,0.8960785974421953,0.0,12
23,3.1830132007598877,0.0,0.004999876022338867,0.0,"(20, 20)",0.1,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.896586684690774,0.896586684690774,0.0,10
