n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,180.36100721359253,0.0,6.922869682312012,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.896390951476429,0.896390951476429,0.0,12
26,241.047935962677,0.0,19.55186939239502,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8296538566366859,0.8296538566366859,0.0,18
26,179.91480922698975,0.0,6.727069854736328,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.896390951476429,0.896390951476429,0.0,12
26,202.83861780166626,0.0,17.222174882888794,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8848158443363446,0.8848158443363446,0.0,17
26,179.4885847568512,0.0,7.00529932975769,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.896390951476429,0.896390951476429,0.0,12
26,185.80088543891907,0.0,18.36373519897461,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8960082234024328,0.8960082234024328,0.0,15
26,173.69012188911438,0.0,6.625885009765625,0.0,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.8985432290319801,0.8985432290319801,0.0,7
26,202.29408264160156,0.0,17.226712942123413,0.0,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.885200312853046,0.885200312853046,0.0,16
26,173.99012851715088,0.0,6.562878370285034,0.0,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.8985432290319801,0.8985432290319801,0.0,7
26,181.0790011882782,0.0,18.564868927001953,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.898078745584561,0.898078745584561,0.0,10
26,173.77912282943726,0.0,6.49288272857666,0.0,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.8985432290319801,0.8985432290319801,0.0,7
26,171.61358094215393,0.0,17.5662682056427,0.0,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.900382815823054,0.900382815823054,0.0,1
26,208.73161697387695,0.0,4.282175540924072,0.0,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.8987330862707921,0.8987330862707921,0.0,3
