n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
25,3.846810817718506,0.0,0.00800323486328125,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8973763440860216,0.8973763440860216,0.0,14
25,1.4620118141174316,0.0,0.004999637603759766,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8995684914121329,0.8995684914121329,0.0,6
25,7.5012547969818115,0.0,0.0039980411529541016,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8545165281951564,0.8545165281951564,0.0,23
25,6.3157408237457275,0.0,0.00800013542175293,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8958279569892473,0.8958279569892473,0.0,17
25,4.933561325073242,0.0,0.008001565933227539,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8997720172253652,0.8997720172253652,0.0,5
25,3.0975213050842285,0.0,0.001068115234375,0.0,20,0.01,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9001442266904216,0.9001442266904216,0.0,3
25,3.0237059593200684,0.0,0.0,0.0,20,0.1,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8940044665864971,0.8940044665864971,0.0,20
25,2.7018041610717773,0.0,0.006056547164916992,0.0,20,0.1,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8966045442941027,0.8966045442941027,0.0,16
25,8.347301244735718,0.0,0.0,0.0,"(10, 10)",0.001,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8975560763307666,0.8975560763307666,0.0,13
25,5.830197811126709,0.0,0.0,0.0,"(10, 10)",0.001,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8989108236895847,0.8989108236895847,0.0,11
25,3.896611213684082,0.0,0.018825292587280273,0.0,"(10, 10)",0.01,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8957023951078648,0.8957023951078648,0.0,18
25,2.4753875732421875,0.0,0.008176326751708984,0.0,"(10, 10)",0.01,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8998814162290361,0.8998814162290361,0.0,4
25,3.5648648738861084,0.0,0.004998683929443359,0.0,"(10, 10)",0.1,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8991738324060023,0.8991738324060023,0.0,9
25,2.274712324142456,0.0,0.0,0.0,"(10, 10)",0.1,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8947413571244746,0.8947413571244746,0.0,19
25,9.85379147529602,0.0,0.0,0.0,"(20, 20)",0.001,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8967501692620176,0.8967501692620176,0.0,15
25,6.383718490600586,0.0,0.0,0.0,"(20, 20)",0.001,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9020332717190388,0.9020332717190388,0.0,1
25,3.9800238609313965,0.0,0.0,0.0,"(20, 20)",0.01,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9011525195591824,0.9011525195591824,0.0,2
25,2.562605619430542,0.0,0.017899036407470703,0.0,"(20, 20)",0.01,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8993162393162393,0.8993162393162393,0.0,8
25,4.078565835952759,0.0,0.0010683536529541016,0.0,"(20, 20)",0.1,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8990763494619101,0.8990763494619101,0.0,10
25,1.5902843475341797,0.0,0.00812530517578125,0.0,"(20, 20)",0.1,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.0,0.0,0.0,24
24,10.743653297424316,0.0,0.0020689964294433594,0.0,10,0.001,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8825141291317007,0.8825141291317007,0.0,22
24,6.0116541385650635,0.0,0.006000518798828125,0.0,10,0.001,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8976565828717512,0.8976565828717512,0.0,10
24,4.477036476135254,0.0,0.0,0.0,10,0.01,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8953320295893208,0.8953320295893208,0.0,18
24,2.905693292617798,0.0,0.006996870040893555,0.0,10,0.01,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9003652425040346,0.9003652425040346,0.0,3
24,2.814520835876465,0.0,0.0,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8954031778400884,0.8954031778400884,0.0,17
24,3.14581298828125,0.0,0.019808053970336914,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9012701100762066,0.9012701100762066,0.0,1
24,7.975343704223633,0.0,0.0,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8653862866081515,0.8653862866081515,0.0,23
24,4.43857216835022,0.0,0.0060482025146484375,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8958632941375518,0.8958632941375518,0.0,16
24,5.977646827697754,0.0,0.00707697868347168,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8987557525140617,0.8987557525140617,0.0,8
24,1.6836869716644287,0.0,0.006064414978027344,0.0,20,0.01,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.892452025586354,0.892452025586354,0.0,20
24,3.5634829998016357,0.0,0.009000778198242188,0.0,20,0.1,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.89693782339469,0.89693782339469,0.0,13
24,1.2647671699523926,0.0,0.005000591278076172,0.0,20,0.1,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.0,0.0,0.0,24
24,7.174900770187378,0.0,0.003999233245849609,0.0,"(10, 10)",0.001,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8863205106089357,0.8863205106089357,0.0,21
24,6.595432996749878,0.0,0.002077341079711914,0.0,"(10, 10)",0.001,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8974029313448187,0.8974029313448187,0.0,11
24,3.3232548236846924,0.0,0.00699615478515625,0.0,"(10, 10)",0.01,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8989464812473662,0.8989464812473662,0.0,6
24,2.783456802368164,0.0,0.002071380615234375,0.0,"(10, 10)",0.01,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9003477228394539,0.9003477228394539,0.0,4
24,3.114046096801758,0.0,0.015778303146362305,0.0,"(10, 10)",0.1,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8925383190163383,0.8925383190163383,0.0,19
