,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,0.008999109268188477,0.0,5.853605031967163,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.901037165082109,0.901037165082109,0.0,11
1,0.030005455017089844,0.0,4.51911187171936,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9242359018510546,0.9242359018510546,0.0,4
2,0.008999109268188477,0.0,5.815605163574219,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9002659574468086,0.9002659574468086,0.0,12
3,0.008000373840332031,0.0,4.533115386962891,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9220013109023378,0.9220013109023378,0.0,6
4,0.008999109268188477,0.0,5.791604995727539,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.907943416757345,0.907943416757345,0.0,7
5,0.009999752044677734,0.0,4.5091164112091064,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9256625727213961,0.9256625727213961,0.0,3
6,0.008999109268188477,0.0,5.856604814529419,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9016249451032059,0.9016249451032059,0.0,9
7,0.008999109268188477,0.0,4.537119388580322,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.923811591057087,0.923811591057087,0.0,5
8,0.029008865356445312,0.0,5.823596000671387,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9041512714627254,0.9041512714627254,0.0,8
9,0.010002374649047852,0.0,4.551117897033691,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9269239060142271,0.9269239060142271,0.0,1
10,0.008000612258911133,0.0,5.846604585647583,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9011857707509882,0.9011857707509882,0.0,10
11,0.00899648666381836,0.0,4.5431108474731445,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9258777633289986,0.9258777633289986,0.0,2
