,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,0.009004592895507812,0.0,5.075870037078857,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9094836897818103,0.9094836897818103,0.0,11
1,0.00800013542175293,0.0,4.7438743114471436,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9265877287405814,0.9265877287405814,0.0,6
2,0.009004592895507812,0.0,5.011868953704834,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.910414827890556,0.910414827890556,0.0,10
3,0.00800013542175293,0.0,4.708883762359619,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9294117647058824,0.9294117647058824,0.0,3
4,0.00800013542175293,0.0,5.015875577926636,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9146447140381282,0.9146447140381282,0.0,7
5,0.009004592895507812,0.0,4.707879304885864,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.932789349366545,0.932789349366545,0.0,1
6,0.00800013542175293,0.0,5.119874715805054,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9122346246443424,0.9122346246443424,0.0,9
7,0.00800013542175293,0.0,4.692472457885742,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9276116168183789,0.9276116168183789,0.0,5
8,0.009004592895507812,0.0,5.163870334625244,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9132222462670417,0.9132222462670417,0.0,8
9,0.005997419357299805,0.0,4.771873235702515,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9298924731182796,0.9298924731182796,0.0,2
10,0.011008262634277344,0.0,5.080867290496826,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9086139046786182,0.9086139046786182,0.0,12
11,0.011008262634277344,0.0,4.723864793777466,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9290043290043289,0.9290043290043289,0.0,4
