n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
25,77.51618266105652,0.0,3.026608943939209,0.0,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.8868496234092286,0.8868496234092286,0.0,7
25,85.83730697631836,0.0,8.440272331237793,0.0,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8906370243693885,0.8906370243693885,0.0,1
24,170.41826963424683,0.0,5.351432800292969,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8860166551006247,0.8860166551006247,0.0,11
24,235.46935272216797,0.0,19.54928994178772,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7947840562286137,0.7947840562286137,0.0,18
24,170.0774335861206,0.0,5.469569683074951,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8860166551006247,0.8860166551006247,0.0,11
24,202.70564436912537,0.0,14.676093816757202,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8724279835390947,0.8724279835390947,0.0,17
24,169.94263792037964,0.0,5.3922810554504395,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8860166551006247,0.8860166551006247,0.0,11
24,177.65989017486572,0.0,14.009385347366333,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8866655166465414,0.8866655166465414,0.0,10
24,154.2190294265747,0.0,4.4487268924713135,0.0,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.8869655530552191,0.8869655530552191,0.0,4
24,202.3755841255188,0.0,14.706905364990234,0.0,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8728516310066643,0.8728516310066643,0.0,16
24,154.3886857032776,0.0,4.483572244644165,0.0,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.8869655530552191,0.8869655530552191,0.0,4
24,168.88033986091614,0.0,15.235099792480469,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8851152313290591,0.8851152313290591,0.0,15
24,154.60647702217102,0.0,4.4603822231292725,0.0,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.8869655530552191,0.8869655530552191,0.0,4
24,150.77075600624084,0.0,14.199939250946045,0.0,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8891557995881948,0.8891557995881948,0.0,2
24,186.12380599975586,0.0,3.2025809288024902,0.0,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.8868496234092286,0.8868496234092286,0.0,7
24,172.14000415802002,0.0,14.730360984802246,0.0,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.8852459016393442,0.8852459016393442,0.0,14
24,186.14772391319275,0.0,3.2684924602508545,0.0,100,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.8868496234092286,0.8868496234092286,0.0,7
24,67.70132994651794,0.0,9.148299217224121,0.0,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8879109500388299,0.8879109500388299,0.0,3
24,80.72396302223206,0.0,2.605144500732422,0.0,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.8868496234092286,0.8868496234092286,0.0,7
24,88.25778985023499,0.0,8.404750347137451,0.0,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8904660111158615,0.8904660111158615,0.0,1
23,181.29520177841187,0.0,5.5949461460113525,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8858431644691187,0.8858431644691187,0.0,11
23,241.3821656703949,0.0,19.921335220336914,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7951183431952662,0.7951183431952662,0.0,18
23,181.16912269592285,0.0,5.5925469398498535,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8858431644691187,0.8858431644691187,0.0,11
23,211.13212823867798,0.0,14.911938905715942,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8726254048848814,0.8726254048848814,0.0,17
23,181.34290742874146,0.0,5.616706609725952,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8858431644691187,0.8858431644691187,0.0,11
23,185.11143732070923,0.0,15.506673812866211,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8866086056738812,0.8866086056738812,0.0,7
23,161.76658368110657,0.0,4.491060733795166,0.0,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.8869655530552191,0.8869655530552191,0.0,4
23,211.27830481529236,0.0,15.089576005935669,0.0,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8727081322923064,0.8727081322923064,0.0,16
23,161.56194233894348,0.0,4.48422646522522,0.0,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.8869655530552191,0.8869655530552191,0.0,4
23,175.42093133926392,0.0,16.3964900970459,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8851152313290591,0.8851152313290591,0.0,15
23,161.7751383781433,0.0,4.458268404006958,0.0,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.8869655530552191,0.8869655530552191,0.0,4
23,158.57149076461792,0.0,14.527575731277466,0.0,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8894989704873025,0.8894989704873025,0.0,2
23,198.68480134010315,0.0,3.0109336376190186,0.0,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.8865800865800866,0.8865800865800866,0.0,8
23,180.60817408561707,0.0,15.952300786972046,0.0,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.8851691240242844,0.8851691240242844,0.0,14
23,198.5617914199829,0.0,3.210237979888916,0.0,100,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.8865800865800866,0.8865800865800866,0.0,8
23,66.52854800224304,0.0,9.350860595703125,0.0,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8878343399482312,0.8878343399482312,0.0,3
23,80.53568625450134,0.0,2.5230016708374023,0.0,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.8865800865800866,0.8865800865800866,0.0,8
23,86.35458707809448,0.0,8.351361274719238,0.0,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8901813205610672,0.8901813205610672,0.0,1
22,81.46759915351868,0.0,6.3361921310424805,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8860935195627656,0.8860935195627656,0.0,11
22,146.50980758666992,0.0,19.420616388320923,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7948575656677765,0.7948575656677765,0.0,18
22,80.84244441986084,0.0,6.56317663192749,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8860935195627656,0.8860935195627656,0.0,11
22,107.50657606124878,0.0,14.06068205833435,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8726795096322242,0.8726795096322242,0.0,17
22,80.90443086624146,0.0,6.525003671646118,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8860935195627656,0.8860935195627656,0.0,11
22,92.61533379554749,0.0,14.814786434173584,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8866655166465414,0.8866655166465414,0.0,10
22,77.12752604484558,0.0,5.606434106826782,0.0,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.8869655530552191,0.8869655530552191,0.0,4
22,106.6748309135437,0.0,14.230257511138916,0.0,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8727304622401545,0.8727304622401545,0.0,16
22,76.90382981300354,0.0,5.577340364456177,0.0,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.8869655530552191,0.8869655530552191,0.0,4
22,90.0293185710907,0.0,15.603312730789185,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8852686308492203,0.8852686308492203,0.0,14
22,77.16311573982239,0.0,5.624239921569824,0.0,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.8869655530552191,0.8869655530552191,0.0,4
22,83.6833713054657,0.0,15.382604837417603,0.0,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.888984214138641,0.888984214138641,0.0,2
22,98.50408554077148,0.0,3.4128060340881348,0.0,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.8866960962520557,0.8866960962520557,0.0,7
22,90.35550856590271,0.0,14.749354839324951,0.0,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.8852658052207095,0.8852658052207095,0.0,15
22,98.98137712478638,0.0,3.664328098297119,0.0,100,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.8866960962520557,0.8866960962520557,0.0,7
22,58.89617919921875,0.0,8.992987871170044,0.0,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8880642098903944,0.8880642098903944,0.0,3
22,64.15615272521973,0.0,2.493074417114258,0.0,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.8866960962520557,0.8866960962520557,0.0,7
22,75.89041304588318,0.0,8.54746150970459,0.0,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8903898768809849,0.8903898768809849,0.0,1
21,172.77789783477783,0.0,4.963314056396484,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8861703973624849,0.8861703973624849,0.0,11
21,229.41598892211914,0.0,19.21193027496338,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7946345975948196,0.7946345975948196,0.0,18
21,172.4427251815796,0.0,4.797663927078247,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8861703973624849,0.8861703973624849,0.0,11
21,200.42110800743103,0.0,14.434432983398438,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8728546409807355,0.8728546409807355,0.0,16
21,172.91369485855103,0.0,5.047135829925537,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8861703973624849,0.8861703973624849,0.0,11
21,176.58679819107056,0.0,14.037731170654297,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8867615351444588,0.8867615351444588,0.0,10
