,feature,importance
0,mer8,0.602636283405846
1,mer7,0.22527774608110301
2,mer6,0.07498164706272288
3,cpg,0.01141009434944967
4,gcs,0.009553048084772253
5,gc,0.008805764692976625
6,cm2,0.008253456497717526
7,cwf,0.007856720525881988
8,ce,0.007662449462508609
9,cm1,0.007388249321297856
10,ct6,0.0046615061224011085
11,ct5,0.004383701981868657
12,ct4,0.004039559264717389
13,ct3,0.00352963356245194
14,cl4,0.0029450429620437265
15,cm3,0.0029404533121760246
16,cl5,0.0027661421901265366
17,cl6,0.002765055514003245
18,cl3,0.0026623887708429506
19,ct2,0.0019082892795210214
20,cl2,0.0017566599227491846
21,cm4,0.0010213590576780675
22,cm5,0.0004638608566374666
23,cm6,0.00012535921860073557
24,cl1,0.00011490798127775426
25,ct1,9.062051862794025e-05
