,feature,importance
0,mer8,0.49708530304598814
1,mer7,0.18153773517181543
2,mer6,0.10344859360026798
3,cpg,0.027530797707745257
4,gcs,0.02106478900102349
5,gc,0.02069876191231341
6,cm2,0.02059437100861116
7,cm1,0.017748748810505043
8,ce,0.017365391471433796
9,cwf,0.017276465086782936
10,ct6,0.009109727821731334
11,ct4,0.008825413885545993
12,ct5,0.008778810633868617
13,ct3,0.008095326412434834
14,cm3,0.007000566017391055
15,cl6,0.005717648141298315
16,cl4,0.005484994581849535
17,cl5,0.005444956718709344
18,cl3,0.005108864590352349
19,ct2,0.004029018449884866
20,cl2,0.003968981818897679
21,cm4,0.0026154791716761472
22,cm5,0.0007621576080189305
23,ct1,0.00030676242368048894
24,cl1,0.00023044296905296605
25,cm6,0.00016989193912093296
