,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,0.16787362098693848,0.0,0.9814357757568359,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.8590407177363699,0.8590407177363699,0.0,2
1,0.14453625679016113,0.0,0.6094498634338379,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.8579820317899101,0.8579820317899101,0.0,3
2,0.16287541389465332,0.0,0.9914331436157227,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.8497033035160748,0.8497033035160748,0.0,12
3,0.1455669403076172,0.0,0.695343017578125,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.8510827121050762,0.8510827121050762,0.0,10
4,0.1455669403076172,0.0,0.9848551750183105,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.8599275487321029,0.8599275487321029,0.0,1
5,0.11659455299377441,0.0,0.8699769973754883,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8579338985983735,0.8579338985983735,0.0,4
6,0.1455669403076172,0.0,1.1274025440216064,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.8524762908324552,0.8524762908324552,0.0,8
7,0.17087388038635254,0.0,0.9034900665283203,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.852863436123348,0.852863436123348,0.0,7
8,0.17492270469665527,0.0,1.242217779159546,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.8557041152977947,0.8557041152977947,0.0,6
9,0.1738729476928711,0.0,0.9565491676330566,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8560257190025198,0.8560257190025198,0.0,5
10,0.14453625679016113,0.0,1.2655718326568604,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.8510974539069359,0.8510974539069359,0.0,9
11,0.17492270469665527,0.0,1.0331072807312012,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.8507161057903524,0.8507161057903524,0.0,11
